Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
Winona R-III School District,C.A.T.,Winona,MO,65588,"""   The goal of the C.A.T. Program is to provide the tools and skills that participants need to build a successful future through career preparation, guidance and support for pursuing and completing a college degree. Early childhood and school age programs will be provided with the basic information of the many career opportunities available, and to prepare students for individual career paths. The program activities that we will be supplying are dual enrollment classes for current high school students, Adult GED classes, alternative school, ACT prep classes and ACT testing. Activities will also include the use of technology, by using our bespoken computer system, to include the merging of the Moodle. College classes will be offered locally by our partner Mineral Area College and by our Interactive internet training courses. The C.A.T. program will assist students already perusing a particular career, evaluate their current status and develop long-term plans for their ongoing career development. Transportation will be provided to and from classes, after school and work hours. The C.A.T. program will also provide a safe and structured environment for child care while participants are involved in the academic classes/activities and assistance for high school parents as well as community members will be provided.""",AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,LEA,Development,3 years,1370520,No,"Winona, MO
(37.0567, -91.2302)"
Winston-Salem/Forsyth County Schools,CareerStart: A Regional Validation Strategy to Promote Middle Grades School Success,Winston-Salem,NC,27103,"""CareerStart is a principal leadership and teaching program that increases the career relevance of lessons within the core curriculum in the middle grades. In this proposal we intend to take a school-wide intervention that has shown interval validity in an experimental pilot in one school district and build the capacity of that intervention for scaling up and complete a large two state evaluation in order to demonstrate external validity. This proposed project will include LEAs in both North Carolina and Maryland, and will train 120 principals in leadership skills around CRI, train 4,000 teachers in strategies to deliver CRI lessons, who will ultimately teach 35,000 students. However, training school professionals and serving students while important for the evaluation of this proposed project, is not the final goal. The ultimate goal over the five year project is to fully manualize the principal and teacher training materials, build an extensive library of lessons infused with career content across all four core subjects, align those lessons to the coming common core curriculum, and make those training materials and lessons available to any LEA by posting them on an open access CareerStart web portal. The CareerStart strategy has a number of characteristics that make it a very effective, easily implemented and scalable intervention. First, CareerStart puts no extra burden on teachers, as it does not require that teachers change their teaching style, teachers simply use the CareerStart lessons and learn to infuse career information into what and how they are already teaching. Second, CareerStart is an intervention that works for all students, including high needs students at risk for poor school outcomes. Third, the project has an experienced team including the original developers of CareerStart Drs. Dennis Orthner and Don Martin at the Winston-Salem/Forsyth County Schools; LearnNC who has been posting the CareerStart lessons on the web; the University of Maryland Ba... [Truncated, 2000 Character Length Exceeded]""",AP1: Effective Teachers and Principals,CP8: Rural LEAs,LEA,Validation,5 years,13702027,No,"Winston-Salem, NC
(36.0692, -80.3162)"
Winston-Salem/Forsyth County Schools,Project ICE,Winston-Salem,NC,27102,"""Project ICE (Improving Climate through Empowerment) intends to prove that professional learning communities(PLCs), which include a student voice, are an effective vehicle to generate a collaborative response to schoolclimate issues. As school climates improve, so will student achievement. This developmental i3 project isaligned with Absolute Priority 4 (Innovations that Turn Around Persistently Low Performing Schools).The thirteen targeted schools involved in Project ICE will receive intensive professional development instimulating organizational change and creating a positive school climate that fosters student achievement.Targeted schools will each use a PLC, also known as a climate team, to analyze school-wide climate data todevelop a comprehensive school safety plan. The teams will be led by a trained facilitator. Schools will alsoimplement the Safe School Ambassador program to engage students in reducing bullying and mistreatment.Effective implementation will lead to shared leadership, increased collaboration among stakeholders, andincreased efficacy of administrators, teacher leaders, climate facilitators, and students. Project ICE sites willexhibit improvements in school climate indicated by reductions in bullying, increased reporting of bullying bystudents and adults, and reductions in put downs, harassment, and gang activity. Students and staff will reportgreater confidence in their ability to successfully intervene and address inappropriate situations. Theseintermediate outcomes will lead to measurable increases in student achievement. Over the 3-year period, over7,000 students in ten elementary schools and three middle schools will be impacted by Project ICE.Winston-Salem/Forsyth County Schools (WS/FCS) will create a community of learners, including Peter Senge?sSociety for Organizational Learning, Community Matters, Wage Peace Today, and the Alliance for the Studyof School Climate to effectively implement the strategies.""",AP4: Persistently Low-Performing Schools,,LEA,Development,3 years,1423842,No,"Winston-Salem, NC
(36.1109, -80.2029)"
Winton Woods City School District,Innovative Practices Academy at Winton Woods City School District,Cincinnati,OH,45240,"""The Winton Woods City School District seeks to develop an Innovative Practices Academy (IP Academy) - an instructional team that will improve learning for all students in the district, and specifically address the district's three main challenge areas: academic gap in performance in students with disabilities (SWD), limited English proficient (LEP) students and those of economically disadvantaged background. The purpose of the collaborative i3 grant project is to build systemic instructional capacity of teaching staff in Winton Woods District and increase the achievement level of all students, and specifically those students who have not met Adequate Yearly Progress (AYP). The Innovative Practices Academy will consist of five educators working with the current curriculum leader.  This team will function as a professional research and practice team, that will, over a course of two years, develop innovative content delivery techniques and instructional strategies that can be aligned to the mandated curricular requirements. The IP Academy members will work as a professional team whose purpose will be to identify specific obstacles in learning for all students in the district and especially focusing on SWD, LEP students and students of disadvantaged economic background.  The members of the Academy will research, test, implement and help evaluate those instructional strategies, programs, best practices, that have the highest potential to support and improve the overall learning environment in the district and eliminate the gap in academic achievement.  This IP Academy team will participate in site-based research and practice in collaboration with classroom teachers to find potential solutions that will improve both teaching practices and learning outcomes.""",AP3: High Standards and High-Quality Assessments,CP7: Unique Learning Needs,Nonprofit w/ LEA,Development,5 years,1582500,No,"Cincinnati, OH
(39.2859, -84.5245)"
WISACH,The WISACH Project,West,AL,35204,,,,(not provided),Development,,1140024,No,"West, AL
(33.5203, -86.8384)"
Wiseburn School District,The Triad Project,Hawthorne,CA,90250,"""The Triad Project consists of five schools, in California, New York, Maryland, and Florida that are dissimilar, except they are located near Northrop Grumman offices and have NG employees working with them. Each school has some STEM focus, each has equal opportunity for students to self-select the program, and each has some level of PBL in their curriculum. The only difference between the students in the study and their larger school group is their desire to be in the STEM academy (self-choice). No decisions of inclusion were based on gender, race, national origin, color, or disability.  Age is a definition of the student?s grade.  Additionally, the schools do not impede access to the program based on past courses or grades in junior high or middle school (although students must not have D or F grades in HS). California, New York, and Maryland schools have a high percentage of students from underserved populations.Working with the Project Director, NG will jumpstart a program with analysts and planners to interview and determine what needs to happen to ensure that all schools have roughly the same beginning point. The product of this assessment will be a Long-term Strategy Plan for each STEM academy with the first three years fleshed out. Based on the results of the NG jumpstart assessment that will take place in Fall of 2010, the first stage of the Triad Project will be initiated in Spring of 2011. Each school will have deeply involved industry professionals working with them throughout the Fall semester to align the Spring projects with STEM objectives. Depending on the school?s current curriculum, college courses will begin in the Spring if they are not already in place.  Our first assessment measure will assess the impact of the Triad Project on the students in the area of career and work readiness.  The CWRA will be implemented with the entire school population?performed during the freshmen year and the senior year.  By testing the whole school of which th... [Truncated, 2000 Character Length Exceeded]""",AP1: Effective Teachers and Principals,CP6: College Access and Success College Access and Success,LEA,Development,3 years,4892920,No,"Hawthorne, CA
(33.9153, -118.351)"
WNET.ORG,Innovation in Digital Media: Achieving High Standards in Global History and Geography,New York,NY,10001,"""WNET.ORG proposes to apply for a three-year I3 development grant entitled Innovation in Digital Media: Achieving High Standards in Global History and Geography. Partnering with 5 Local Educational Agencies in New York State, WNET will address Absolute Priority 3, Innovations that Complement the Implementation of High Standards and High-Quality Assessments, and intends to improve lagging student achievement in high school Global History and Geography courses by developing digital media resources for educators who serve high need students. WNET will also create a model of professional development ensuring effective use of the digital resources in classrooms. A scientifically-based evaluation will assess the impact of the curriculum and professional development intervention on student achievement as measured by the standards and assessments associated with those curricula. Private sector partnerships have committed a variety of innovative technological resources that will complement the implementation and impact of WNET's initiative.""",AP3: High Standards and High-Quality Assessments,,Nonprofit w/ LEA,Development,3 years,4874576,No,"New York, NY
(40.7521, -73.9945)"
"Women's Opportunity & Resource Development, Inc",Montana Family & School Partnership,Missoula,MT,59808,"""The Montana Family & School Partnership will partner with 20-25 low-performing rural schools that serve ~8,000 students from preschool through grade twelve, with the goal of effecting targeted reform that will lead to increased student achievement.  The project will provide services to some of Montana's most challenged schools through a comprehensive approach that incorporates two tested interventions: 1) Solid Foundation, a program that engages parents and community members with school personnel in a process of assessing and strengthening their schools partnership model; and 2) The Parent Teacher Home Visit Project, through which schools build important family connections through strategic home visits.  In addition, the project will provide ongoing technical assistance, training, and support to partnering schools throughout the planning, implementation, and operational stages. This project meets absolute priority 4 by providing strategies and programs designed to turnaround persistently low performing schools though strengthening non-academic student supports that have been shown to increase academic gains.  It meets competitive preference priority 5 by addressing pre-school to kindergarten as a critical transition year for home visits and including the involvement of K-3 teacher and staff in critical interventions. It meets competitive priority 8 by specifically targeting schools in rural LEA's that serve high-need students including 25-50% American Indian students, with some schools well over 50%.The design of this project comes out of what has proven to be highly adaptable and effective strategies to engage parents in Montana's most isolated and poorly performing schools.  The evaluator for this project is Education Northwest which has extensive experience in the area of evaluation of family/school/community partnerships and effective educational interventions.  """,AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP8: Rural LEAs",Nonprofit w/ LEA,Development,5 years,2624000,Yes,"Missoula, MT
(46.8492, -114.014)"
Woodrow Wilson National Fellowship Foundation,"The Development, Implementation, Scaling, Sustainability, and Evaluation of an Enhanced Dual Enrollment System",Princeton,NJ,8540,"""The proposed Enhanced Dual Enrollment System (EDES) builds upon the deep knowledge of two lead organizations, the Woodrow Wilson National Fellowship Foundation and the Middle College National Consortium, both of whom have extensive experience in the development of early college high schools and supporting organizations that specialize in crucial components of the model. Early Colleges (ECs) are small high schools that serve traditionally underserved students and provide the opportunity for them to graduate from high school with an associates degree or 1-2 years of transferable college credit. The main reasons why these schools are successful are because they 1) help students prepare for college-level coursework, 2) provide dual enrollment courses (for which students earn both high school and college credit) and 3) support students in the hard work of preparing for, and doing, college-level work. This means that the schools must provide not only exemplary academics and instruction, but the appropriate feedback for students and staff to understand student progress in relation to postsecondary standards; non-academic supports (such as emotional and behavioral); and the key cognitive strategies necessary for college success. One limitation of ECs is that they are difficult to scale; the model requires small schools that, in this economic climate, are expensive to replicate. Therefore, for this project, we will apply the knowledge gained in creating and developing ECs to a much broader range of high schools by replicating the core components?the components of the work that make the most difference on students? educational trajectories?in other types of secondary schools. This will allow for a greater reach and, ultimately, this work will provide opportunities for larger numbers and percentages of underserved students enroll and succeed in postsecondary education.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Validation,5 years,20119111,No,"Princeton, NJ
(40.3675, -74.6695)"
Woodrow Wilson National Fellowship Foundation,Teaching and Learning Lab Model School of Education,Princeton,NJ,8543,"""The Teaching and Learning Lab will be a model education school that will prepare ourstanding teachers and administrators for New York City schools.  It will be embedded in two public schools--Generation Schools in Brooklyn, and Quest to Learn--and connected to a university--Cooper Union for the Advancement of Science and Art.  The Woodrow Wilson State Teaching Fellowship, now in Indiana, Ohio, and Michigan, requires participating universities in those states to make significant changes to their education schools.  In order to be eligible to receive Fellows, the education schools must make changes based on Woodrow Wilson standards.  A consistent issue has been that the universities have not had a model to look to that illustrates and demonstrates the changes they must make.  The Teaching and Learning Lab will serve as that model.  Its development will flow from the findings of Arthur Levine's six-year study of education schools.  It will be evaluated based on its graduates' impact on student achievement.  As the Teaching Fellowship expands to additional states, the Lab will serve as a model for improving education schools beyond Indiana, Ohio, and Michigan.""",AP1: Effective Teachers and Principals,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Development,5 years,5000000,No,"Princeton, NJ
(40.3112, -74.6516)"
Woodrow Wilson National Fellowship Foundation,Expansion of Indiana Teaching Fellowship to Special Education,Princeton,NJ,8543,"""The Woodrow Wilson Teaching Fellowship is operating in the state of Indiana at four universities, including Ball State and the University of Indianapolis.  The program recruits, prepares, and retains outstanding STEM high school teachers for the state.  In addition, participting universities are required to make significant changes to their STEM teacher education programs.  These changes include establishing close collaboration between the college of arts and sciences and the eduaction school, and designing and evaluating the new program such that achievement of the students taught by graduates is the key component.  This proposal seeks support to expand the Fellowship at these two universitities to include special education.  Teachers would be prepared for and placed in the Indianapolis, Muncie, Anderson, and Wayne school districts, all of which are high need and suffer from shortages of special eduacation teachers.""",AP1: Effective Teachers and Principals,CP7: Unique Learning Needs,Nonprofit w/ consortium of schools,Development,5 years,4968000,No,"Princeton, NJ
(40.3112, -74.6516)"
Woodward Public Schools,Investing in Innovations Grant,Woodward,OK,73801,"""Woodward Schools will increase access, equity, & performance in Advanced Placement (AP) through o	SpringBoard, the official Pre-AP curriculum, including sustained professional development, student & teacher editions, & online learning options. This English & math curriculum will enable rigorous instruction that will pipeline students into more AP courseso	Building greater access & success in AP English Language, AP English Literature, AP Calculus AB, AP Biology, AP Spanish Language, & AP U.S. History through professional development & SpringBoard. Customized teacher professional development for three consecutive summer institutes will teach best practices & form vertical teams to enable consistent, efficient yet rigorous curriculum for each of the 6 focused AP courseso	A system of online AP courseso	Targeting English Language Learnerso	Becoming a lighthouse for similar rural Oklahoma LEAso	Expanding the rural LEA partnership with the OKDoE & College Board to manage the growth plan""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",LEA,Development,5 years,4852603,No,"Woodward, OK
(36.4321, -99.3996)"
Worcester Polytechnic Institute,Developing a Model of School Improvement around ASSISTments,Worcester,MA,1609,"""Abstract for ?Developing a Model of School Improvement around ASSISTments?Type: Development GrantPI: Neil HeffernanCo-PIs: Ken Koedinger (CMU), Matt Militello (NC State), Louis Gomez (UPittsburgh), Cris Heffernan (WPI), Nina Arshavsky (SERVE Center), and John Pane (RAND)School Partners: 21 school districts in MassachusettsPrivate Partners: WPI itself will provide ASSISTments as a cost share as well as IBM, Intel and EMCSecretary Arne Duncan has called for teachers and schools to use data to drive instruction and drastically raise student achievement, but also pointed out that teachers are not taught how to do this. We propose to develop a training model grounded in Professional Learning Communities to help teachers use an intelligent tutoring system called ASSISTments in order to drive reform and improve student learning. The funding has been successful as ASSISTments has proven to be a valuable tool to enhance teaching. Currently ASSISTments is in schools that receive direct support from the PI and his staff. Can this invention be given to schools where the creators are not doing one-on-one training of teachers? We think we first need to develop a model for how to train schools.We propose that to develop this model we will iteratively deigns, test, and re-design this model for 4 years, making it better each year. Our model of training should be able to be used to train a number of schools effectively. The training model will harness the proven impact of Professional Learning Communities (PLC) in the diffusion of the ASSISTments innovation. These schools will undergo an extensive and intensive set of professional development actives based upon the previous years design.The deliverables at the end of this grant will include books, paper materials, and videos so that new schools can quickly learn how to use ASSISTments in meaningful ways. And perhaps our most compelling deliverable of all, we will a set about a dozen high-implementing schools that hopefully wi... [Truncated, 2000 Character Length Exceeded]""",AP2: Use of Data,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",N/A,Development,5 years,3999193,No,"Worcester, MA
(42.2764, -71.8195)"
Worcester Polytechnic Institute,DATA-ASSIST - Improving Student Achievement through Online Nightly Homework,Worcester,MA,1609,"""According to the National Assessment of Educational Progress only 32% of American public school student are at or above ?proficient? in mathematics. The state of Maine is representative of this trend with only 35% of students at or above ?proficient? according to NAEP. In fact, Maine?s math achievement scores have remained flat despite being the only state in the country that leases laptops to every middle school student in the state. This lack of improvement may be due to the fact that Maine did not buy any educational software for math. We propose to remedy this by giving all 45,000 middle school students in Maine a well-developed computer-based intelligent tutoring system so students can get feedback on their homework while at the same time, their teachers get reports on how students are doing. Two rigorous studies, with high internal validity, showed that using ASSISTments for homework leads to more learning than a traditional control group where student got feedback the next day in class. Each student gets individualized help, right when they make a mistake, rather than waiting until the next day in class. The RAND Corporation, a trusted name in objective analysis, will conduct an external evaluation to see if, in fact, student test scores do go up. Initially 60 schools will participate in the randomized controlled trial. By the end of the grant, all the schools in the state will get access to access to ASSISTments. This grant is proposed by an interdisciplinary team of nationally renowned experts in cognitive science, intelligent tutoring systems, mathematics education, teacher training, educational leadership and psychometrics. The team has extensive support throughout Maine from many partners. Improving homework so that kids get immediate feedback might sound mundane to some, but cognitive science tells of the importance of immediate feedback for learning. This grant has the potential to prove a very important point to the nation. When kids have access well ... [Truncated, 2000 Character Length Exceeded]""",AP2: Use of Data,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,5 years,14247373,No,"Worcester, MA
(42.2764, -71.8195)"
World Wide Workshop Foundation,Globaloria West Virginia,Charleston,WV,25301,,,,Nonprofit w/ LEA,Development,,6781632,No,"Charleston, WV
(38.3488, -81.6313)"
Yale University,Using The RULER Approach to Support Effective Teachers and Principals and Increase Achievement among  High-Need Student,New Haven,CT,6520,"""The RULER Approach to Social, Emotional, and Academic Learning (?RULER?) provides evidence-based,whole-school prevention programming that fosters effectiveness in principals and teachers, leads to academic,social, and emotional improvements for students, and enhances learning environments. This project seeks toadapt systematically RULER (developed by the PI?s team) to meet the unique needs of principals, teachers,and students in schools for children with special learning needs, including those with autism spectrum disorderand with emotional disturbances. This 5-year development project will ready RULER for validation andnational scale-up using a 3-prong approach: (1) embed RULER into a large, urban school district serving over23,000 high-need students; (2) develop a cost-effective, technologically-advanced implementation strategyusing a site-based train-the-trainer model to ensure long-term program sustainability with minimalinvolvement from the development team; and (3) use technology, protocols, and data derived from the projectto scale-up national delivery of RULER . A team of seasoned researchers and program developers from YaleUniversity (nonprofit applicant) will continue their existing partnership with District 75 of New York City(LEA) and officially partner with leading education technology developers at the Columbia Center for NewMedia Teaching and Learning to achieve this objective. The Yale team will be advised by renowned clinicaland educational experts in order to adapt RULER to meet both the unique learning needs of students withdisabilities (to improve their growth), and the unique leadership and professional development needs of theirprincipals and teachers (to make them more effective at improving student growth). In Years 1-3 we willdevelop and field test RULER and the innovative the technology platform in special education settings, and inYears 4-5 we will test refinements and ready RULER for validity testing and scaling-up.""",AP1: Effective Teachers and Principals,CP7: Unique Learning Needs,Nonprofit w/ LEA,Development,5 years,4997287,No,"New Haven, CT
(41.3086, -72.9258)"
Yale University,Yale National Initiative to strengthen teaching in public schools,New Haven,CT,6520,"""Yale University, in partnership with the New Haven Public Schools, has developed an exceptional approach to strengthen teaching and learning in the nation?s public schools and has demonstrated its ability to assist other communities in implementing that approach in diverse high-need school districts around the country. Over five years, Teachers Institutes will be established, sustained, and evaluated. With other partners, the League will disseminate its work widely, targeting high-need school districts and nearby colleges and universities that could join them in adopting the Institute approach. The Initiative offers an annual cycle of national seminars for teachers and conferences and programs for school officials and college and university faculty members and administrators; organizes site visits and information sessions; hosts a Web site; and publishes a periodical, 'On Common Ground'?.Teachers Institutes that are members of the League will enlarge their work to reach more students and become more cost effective, and will further develop ways they support school reform in their districts and states in order to institutionalize their work. Other school districts will plan and begin to implement new Teachers Institutes. An evaluation of the efficacy of these Institutes will help persuade additional school districts and states to adopt the approach. The work will thus begin to be institutionalized in existing Teachers Institutes, sustained in new Institutes, and eventually undertaken by school districts around the country by tapping public funds for professional development. In these ways, the Teachers Institute approach will provide an innovative, viable, and appealing alternative to ineffectual and unpopular but widespread professional development practices.""",AP1: Effective Teachers and Principals,CP8: Rural LEAs,Nonprofit w/ LEA,Development,5 years,5000000,No,"New Haven, CT
(41.3086, -72.9258)"
YES Prep Public Schools,Center for Research and Innovation in Teaching Excellence,Houston,TX,77036,"""Brief project description, summary of project objectives and expected outcomes:Through a multi-state partnership, the Research and Innovation in Teaching Excellence Center (RITE Center) project brings together large urban public school district, four high-performing charter school systems, and leading entrepreneurs in education. The Investing in Innovation (i3) Development grant will launch the RITE Center to achieve the following:(1) Increase the number and percentages of highly effective teachers;(2) Increase student growth and achievement, and(3) Serve as a model for other charters and districts establish a learning environment where experienced teachers can receive ongoing, content-specific skills enrichment and engage in research that will drive high standards of practice.Each of the partners possesses proven strengths in these project areas that will lead to the Center?s success both locally and nationally, which includes dissemination of Center results and guided replication in a consortium of Nashville, Tennessee charter school districts.Target number of students to be served in the project: 209,376 students from five LEAsSpecial project features: Two high-performing Charter Management Organizations and a large urban school district partnering with the leading thinkers and education entrepreneurs to redesign what it means to create effective teachers, thereby bringing about even greater measures of student success. Project is expected to have revenues beginning in year 2 via ACP tuitions.Project partners: YES Prep Public Schools, KIPP (Knowledge is Power Program) Houston, Houston Independent School District, KIPP Nashville and LEAD Public Schools.""",AP1: Effective Teachers and Principals,,LEA,Development,5 years,4990518,No,"Houston, TX
(29.701, -95.5367)"
YMCA of Memphis & the Mid-South,YMCA Multicultural Achievers,Memphis,TN,38111,"""The YMCA Multicultural Achievers is a college readiness program . The goal is to bring Hispanic youth to the successful completion of a college degree leading to meaningful career of their choosing. Our program is designed in several components designed to remove the barriers to successful participation in gaining an education . Our program works with participants from school age youth on up to college age, to ensure proficiency in English Language skills, to attain success at school leading to a diploma, to offer opportunities to explore various career options, obtain on the job training and to assist the participant gain entry into an institution of higher learning.""",AP2: Use of Data,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,3293522,No,"Memphis, TN
(35.1126, -89.9468)"
Yolo County Office of Education,Yolo County Closing the Achievement Gap (YCCAG) Initiative,Woodland,CA,95776,"""Yolo County Office of Education, in collaboration with all five public school districts in Yolo County, Woodland Community College, and University of California at Davis, has developed the Yolo County Closing the Achievement Gap (YCCAG) Initiative as an innovative approach at closing the achievement gaps between limited English proficient and English proficient students?.TRUNCATED""",AP2: Use of Data,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,4 years,5000000,No,"Woodland, CA
(38.6774, -121.68)"
Yorkshire Pioneer Central School District,Pioneer Teacher/Principal Training to Close High Needs Achievement Gaps,Yorkshire,NY,14173,"""The LEA partners with New York State Middle School Association and Cattaraugus-Allegany BOCES toprovide teacher/principal training to test the hypothesis that, because of early success at the LEA's middleschool, implementation of Essential Elements of Standards-Focused Middle-Level Schools and Programs andTheir Rubrics and PBIS (Positive Behavioral Interventions and Supports) at the two elementary schools andthe high school will close academic achievement gaps for high needs groups and increase overall studentgrowth. The high needs groups are students with disabilities - 16.4% - and economically disadvantaged - 50%.Training of teachers and principals prepares them to implement Essential Elements protocols involvingcollaboration, data collection, feedback, reflection and consensus aimed towards school improvement.Training for PBIS best practices focuses on the behavioral side following a similar collaborative, problemsolving approach that engages students in learning what acceptable behaviors look like and receiving multiplepositive reinforcements for desired behaviors. The learning environment becomes safer and more supportive.Over four years experience at Pioneer Middle School has demonstrated that teacher/principal effectivenessincreased as measured by results of ELA and Math state tests. Middle School student performance wassuperior to outcomes at the other three schools, including for gap closing.During Years 4 and 5, scale up begins using BOCES component schools as the vehicle to engage moreteachers/principals and to impact more students. C-A BOCES serves generally rural school districts.Although the LEA is not considered 'rural', most of their 2,718 students are bussed from rural areas of the 250square mile school district. Adjacent districts within the C-A BOCES service area are coded 'rural'. Up to 14rural districts will benefit from scale up during the project period.""",AP1: Effective Teachers and Principals,CP8: Rural LEAs,LEA,Development,5 years,2029898,No,"Yorkshire, NY
(42.5274, -78.4734)"
"Young Playwrights' Theater, Inc.",Young Playwrights' Theater - In-School Playwriting Program Development Project,Washington,DC,20009,"""Young Playwrights' Theater (YPT) teaches underserved students throughout the DC metro area to express themselves clearly and creatively through the art of playwriting.  With support from the Investing in Innovation Fund - Development Grant Program, YPT will evaluate and deepen the value of its flagship In-School Playwriting Program, in collaboration with Powell, Watkins, and Tyler Elementary Schools, George Mason University's School of Education and outside evaluator Dr. Barry Oreck.  Over the course of four years, YPT will design and conduct a comprehensive, scientific outside evaluation of its programs' impact on student reading, writing and academic engagement at the third grade level, in order to demonstrate and disseminate a national model for advancing student learning of traditional classroom content in the English Language Arts through an interactive, innovative, arts integrated approach. By the end of this project, in spring 2014, YPT will have a complete and replicable model for arts integration in the 3rd grade of public schools throughout the U.S.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP7: Unique Learning Needs",Nonprofit w/ consortium of schools,Development,4 years,884819,No,"Washington, DC
(38.9178, -77.0353)"
Youth Policy Institute,YPI PK-20 School Transformation Model,Los Angeles,CA,90014,"""The PK-20 YPI Schools Transformation Model will partner with the Los Angeles Unified School District, model charter schools, and multiple other public and private partners to saturate ten low-performing (in corrective action or restructuring) LAUSD schools with education and supportive services. Over 37,600 students over five years (7,520 each year) will receive direct program services including, case management, early childhood education, afterschool, tutoring, teacher professional development, college preparation, parenting education, online resources, services for EL students and a rage of supportive services to transform these schools, while all 15,593 students attending these schools will benefit from these transformative efforts. Students and their families will receive services to tackle the root causes preventing students from achieving in school, while the program will transform school culture by working with staff and administration to offer services and resources in and out of the school day. This will include options for charter, iDesign, and Pilot school models within the framework of the groundbreaking Public School Choice initiative of the Los Angeles Unified School District.""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Validation,5 years,29444022,No,"Los Angeles, CA
(34.0413, -118.252)"
"Youth Venture, Inc.",Student Achievement Through Social Entrepreneurship,Arlington,VA,22209,"""Ashoka?s Youth Venture (YV) and the United Way (UW), in conjunction with over 100 LEAs and 1901 Group,are partnering to offer the Department of Education the opportunity to invest in a new approach to supporthigh-needs students in improving academic achievement, increasing college enrollment, and enhancing careerreadiness. The goal of our proposal is to use YV?s social entrepreneurship program as a vehicle to alignstudent-led community initiative with academics in an effort to motivate and guide our nation?s youthpopulation, in particular at-risk youth, toward realizing their potential in school, work, home and civic life.This will be achieved through student-led civic ventures that provide hands-on, experiential training in math,writing, public speaking, leadership, teamwork and problem-solving to improve communities. Given initialYV results that show a correlation between the students launching ventures and higher graduation rates,coupled with the new nation-wide goal in the UW system to improve high school graduation rates, the UWYVrelationship (which began in 2002 in NH) has quickly multiplied. Currently, the YV program is beingimplemented by eight UWs across the country. This I3 Development Grant will allow YV to expand theprogram to six new UWs while also deepening the program in six current UW regions. Over 100 LEAs willpartner with YV and UW in a regionally and ethnically diverse array of high-need communities across theUnited States. This I3 Development Grant will allow YV to collect evidence of how the YV program hasimpact in various regions and school settings, and will provide further evidence to our strong hypothesis thatthe venturing experience of YV contributes to students? increased high school graduation rates, lowerdetention and suspension rates, better focus and engagement in the classroom, greater interest in college, andenhanced career readiness.""",AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,Nonprofit w/ LEA,Development,3 years,4830072,No,"Arlington, VA
(38.8945, -77.074)"
YouthBuild USA Inc.,YouthBUILT (Building Unique Instructional Leadership Teams) for Success,Somerville,MA,2144,"""YouthBUILT (Building Unique Instructional Leadership Teams) will deliver an innovative teacher development system focused on instructional excellence for a national network of YouthBuild charter and alternative schools. These schools serve youth who have previously dropped out of traditional high schools. The pilot innovation will recruit, develop, reward and retain educators who will ensure that more low-income young people previously failed by public school systems achieve postsecondary credentials and career and life success. The instructional strategies in which teachers will be coached are organized around literacy, numeracy and youth development practices demonstrated to significantly improve student achievement and postsecondary readiness for an over-aged, under-credited population. Instructional strategies will be supported with a new teacher mentoring system and a performance compensation model to reward exemplary teaching. The innovation will serve as a national model for how YouthBuild schools, alternative high schools and high schools serving low-income students build highly effective teaching systems.""",AP1: Effective Teachers and Principals,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Development,5 years,4957753,No,"Somerville, MA
(42.399, -71.1231)"
Ysleta Independent School District,"""Digi-Know""",El Paso,TX,79925,"""The overall goal of YISD's 'Digi-Know' project is to improve college readiness of students, most of whom are minority and disadvantaged.  Strategies include providing 21st century classrooms at a brand new elementary school and its vertically-aligned middle school; integrating technology into instruction and shifting to project-based learning as the primary model for instruction; ensuring that students use advanced technology both inside and outside class to build information and communications technologies (ICT) literacy as well as content knowledge; linking and assessing grade-to-grade improvements in ICT literacy and foundation skills as well as content knowledge, guided by the new Texas College and Career Readiness Standards; and using technology to build understanding of college processes and behaviors.  Apple Professional Development and LoTi Connection, Inc. (both private-sector entities) will provide extensive professional development and consulting services and match support for the project.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,LEA,Development,5 years,4999009,Yes,"El Paso, TX
(31.7793, -106.366)"
